,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
PAMÃEDORIO,PA,04059,Mãe do Rio, 34 353,"29,900","29900,00","0,870375221960236"
PAMAGALHÃESBARATA,PA,04109,Magalhães Barata, 8 115,"8,598","8598,00",1
PAMARABÁ,PA,04208,Marabá, 266 533,"182,275","182275,00","0,683874041863484"
PAMARACANÃ,PA,04307,Maracanã, 25 971,"29,559","29559,00",1
PAMARAPANIM,PA,04406,Marapanim, 26 573,"28,563","28563,00",1
PAMARITUBA,PA,04422,Marituba, 111 785,"80,500","80500,00","0,720132397012122"
PAMEDICILÂNDIA,PA,04455,Medicilândia, 27 094,"32,347","32347,00",1
PAMELGAÇO,PA,04505,Melgaço, 27 881,"24,150","24150,00","0,866181270399197"
PAMOCAJUBA,PA,04604,Mocajuba, 27 198,"31,917","31917,00",1
PAMOJU,PA,04703,Moju, 84 094,"64,400","64400,00","0,765809689157372"
PAMOJUÍDOSCAMPOS,PA,04752,Mojuí dos Campos, 23 501,"16,282","16282,00","0,692821582060338"
PAMONTEALEGRE,PA,04802,Monte Alegre, 60 012,"58,289","58289,00","0,97128907551823"
PAMUANÁ,PA,04901,Muaná, 45 368,"41,454","41454,00","0,913727737612414"
PANOVAESPERANÇADOPIRIÁ,PA,04950,Nova Esperança do Piriá, 20 478,"21,519","21519,00",1
PANOVAIPIXUNA,PA,04976,Nova Ipixuna, 13 955,"17,027","17027,00",1
PANOVATIMBOTEUA,PA,05007,Nova Timboteua, 12 806,"15,646","15646,00",1
PANOVOPROGRESSO,PA,05031,Novo Progresso, 33 638,"25,769","25769,00","0,766068137225757"
PANOVOREPARTIMENTO,PA,05064,Novo Repartimento, 60 732,"78,488","78488,00",1
PAÓBIDOS,PA,05106,Óbidos, 52 229,"50,025","50025,00","0,957801221543587"
PAOEIRASDOPARÁ,PA,05205,Oeiras do Pará, 33 844,"33,182","33182,00","0,980439664342276"
PAORIXIMINÁ,PA,05304,Oriximiná, 68 294,"72,450","72450,00",1
PAOURÉM,PA,05403,Ourém, 17 855,"18,079","18079,00",1
PAOURILÂNDIADONORTE,PA,05437,Ourilândia do Norte, 32 467,"33,831","33831,00",1
PAPACAJÁ,PA,05486,Pacajá, 41 097,"49,110","49110,00",1
PAPALESTINADOPARÁ,PA,05494,Palestina do Pará, 6 885,"7,575","7575,00",1
PAPARAGOMINAS,PA,05502,Paragominas, 105 550,"101,200","101200,00","0,958787304594979"
PAPARAUAPEBAS,PA,05536,Parauapebas, 267 836,"138,575","138575,00","0,517387505787123"
PAPAUD'ARCO,PA,05551,Pau D'Arco, 6 931,"5,339","5339,00","0,770307314961766"
PAPEIXEBOI,PA,05601,Peixe-Boi, 8 285,"8,084","8084,00","0,975739287869644"
PAPIÇARRA,PA,05635,Piçarra, 12 832,"12,976","12976,00",1
PAPLACAS,PA,05650,Placas, 18 668,"32,325","32325,00",1
PAPONTADEPEDRAS,PA,05700,Ponta de Pedras, 24 984,"32,007","32007,00",1
PAPORTEL,PA,05809,Portel, 62 503,"43,700","43700,00","0,69916644001088"
PAPORTODEMOZ,PA,05908,Porto de Moz, 40 597,"41,400","41400,00",1
PAPRAINHA,PA,06005,Prainha, 35 577,"29,827","29827,00","0,838378727829778"
PAPRIMAVERA,PA,06104,Primavera, 10 851,"10,889","10889,00",1
PAQUATIPURU,PA,06112,Quatipuru, 11 524,"13,794","13794,00",1
PAREDENÇÃO,PA,06138,Redenção, 85 597,"86,326","86326,00",1
PARIOMARIA,PA,06161,Rio Maria, 18 384,"18,208","18208,00","0,990426457789382"
PARONDONDOPARÁ,PA,06187,Rondon do Pará, 53 143,"53,242","53242,00",1
PARURÓPOLIS,PA,06195,Rurópolis, 35 769,"52,473","52473,00",1
PASALINÓPOLIS,PA,06203,Salinópolis, 44 772,"41,164","41164,00","0,919413919413919"
PASALVATERRA,PA,06302,Salvaterra, 24 129,"17,825","17825,00","0,73873761863318"
PASANTABÁRBARADOPARÁ,PA,06351,Santa Bárbara do Pará, 21 087,"21,811","21811,00",1
PASANTACRUZDOARARI,PA,06401,Santa Cruz do Arari, 7 445,"10,496","10496,00",1
PASANTAIZABELDOPARÁ,PA,06500,Santa Izabel do Pará, 73 019,"72,856","72856,00","0,997767704296142"
PASANTALUZIADOPARÁ,PA,06559,Santa Luzia do Pará, 20 370,"19,839","19839,00","0,973932253313697"
PASANTAMARIADASBARREIRAS,PA,06583,Santa Maria das Barreiras, 16 548,"22,244","22244,00",1
PASANTAMARIADOPARÁ,PA,06609,Santa Maria do Pará, 24 624,"25,127","25127,00",1
PASANTANADOARAGUAIA,PA,06708,Santana do Araguaia, 32 413,"52,325","52325,00",1
PASANTARÉM,PA,06807,Santarém, 331 942,"308,339","308339,00","0,928894204409204"
PASANTARÉMNOVO,PA,06906,Santarém Novo, 6 116,"6,796","6796,00",1
PASANTOANTÔNIODOTAUÁ,PA,07003,Santo Antônio do Tauá, 27 461,"32,346","32346,00",1
PASÃOCAETANODEODIVELAS,PA,07102,São Caetano de Odivelas, 16 666,"18,207","18207,00",1
PASÃODOMINGOSDOARAGUAIA,PA,07151,São Domingos do Araguaia, 21 092,"25,945","25945,00",1
PASÃODOMINGOSDOCAPIM,PA,07201,São Domingos do Capim, 30 599,"32,285","32285,00",1
